;W:\MZKE001_A1p_10000_SN0\MKZE001_A-01_A1p_P3-A-1_01_84239.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-10_A1p_P3-F-10_01_84104.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-11_A1p_P3-F-11_01_84105.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-09_A1p_P3-D-9_01_84078.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-02_A1p_P3-A-2_01_84034.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-11_A1p_P3-B-11_01_84055.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-07_A1p_P3-D-7_01_84076.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-12_A1p_P3-B-12_01_84056.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-12_A1p_P3-F-12_01_84106.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-01_A1p_P3-G-1_01_84108.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-08_A1p_P3-B-8_01_84052.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-09_A1p_P3-B-9_01_84053.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-10_A1p_P3-B-10_01_84054.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-04_A1p_P3-D-4_01_84073.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-05_A1p_P3-D-5_01_84074.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-06_A1p_P3-D-6_01_84075.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-07_A1p_P3-F-7_01_84101.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-08_A1p_P3-F-8_01_84102.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-09_A1p_P3-F-9_01_84103.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-10_A1p_P3-H-10_01_84129.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-11_A1p_P3-H-11_01_84130.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-12_A1p_P3-H-12_01_84131.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-11_A1p_P3-D-11_01_84080.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-02_A1p_P3-G-2_01_84109.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-03_A1p_P3-G-3_01_84110.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-01_A1p_P3-E-1_01_84083.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-03_A1p_P3-A-3_01_84035.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-01_A1p_P3-C-1_01_84058.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-04_A1p_P3-A-4_01_84036.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-02_A1p_P3-C-2_01_84059.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-05_A1p_P3-A-5_01_84037.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-04_A1p_P3-G-4_01_84111.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-12_A1p_P3-D-12_01_84081.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-02_A1p_P3-E-2_01_84084.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-03_A1p_P3-C-3_01_84060.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-05_A1p_P3-G-5_01_84112.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-06_A1p_P3-A-6_01_84038.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-04_A1p_P3-E-4_01_84086.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-04_A1p_P3-C-4_01_84061.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-05_A1p_P3-C-5_01_84062.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-07_A1p_P3-A-7_01_84039.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-07_A1p_P3-G-7_01_84114.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-03_A1p_P3-E-3_01_84085.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-08_A1p_P3-A-8_01_84040.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-06_A1p_P3-G-6_01_84113.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-05_A1p_P3-E-5_01_84087.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-08_A1p_P3-D-8_01_84077.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-10_A1p_P3-D-10_01_84079.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-06_A1p_P3-C-6_01_84063.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-06_A1p_P3-E-6_01_84088.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-08_A1p_P3-G-8_01_84115.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-08_A1p_P3-C-8_01_84065.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-07_A1p_P3-E-7_01_84089.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-07_A1p_P3-C-7_01_84064.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-09_A1p_P3-A-9_01_84041.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-10_A1p_P3-A-10_01_84042.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-09_A1p_P3-G-9_01_84116.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-08_A1p_P3-E-8_01_84090.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-10_A1p_P3-G-10_01_84117.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-11_A1p_P3-G-11_01_84118.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-09_A1p_P3-C-9_01_84066.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-09_A1p_P3-E-9_01_84091.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-12_A1p_P3-G-12_01_84119.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-11_A1p_P3-E-11_01_84093.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-12_A1p_P3-A-12_01_84044.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-10_A1p_P3-C-10_01_84067.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-11_A1p_P3-C-11_01_84068.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-11_A1p_P3-A-11_01_84043.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-10_A1p_P3-E-10_01_84092.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-01_A1p_P3-B-1_01_84045.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-01_A1p_P3-H-1_01_84120.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-02_A1p_P3-H-2_01_84121.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-02_A1p_P3-B-2_01_84046.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-03_A1p_P3-H-3_01_84122.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-12_A1p_P3-E-12_01_84094.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-05_A1p_P3-H-5_01_84124.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-12_A1p_P3-C-12_01_84069.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-01_A1p_P3-F-1_01_84095.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-03_A1p_P3-B-3_01_84047.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-01_A1p_P3-D-1_01_84070.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-04_A1p_P3-H-4_01_84123.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-02_A1p_P3-F-2_01_84096.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-03_A1p_P3-F-3_01_84097.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-04_A1p_P3-B-4_01_84048.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-04_A1p_P3-F-4_01_84098.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-06_A1p_P3-H-6_01_84125.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-07_A1p_P3-H-7_01_84126.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-03_A1p_P3-D-3_01_84072.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-02_A1p_P3-D-2_01_84071.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-05_A1p_P3-B-5_01_84049.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-05_A1p_P3-F-5_01_84099.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-07_A1p_P3-B-7_01_84051.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-06_A1p_P3-F-6_01_84100.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-08_A1p_P3-H-8_01_84127.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-06_A1p_P3-B-6_01_84050.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-09_A1p_P3-H-9_01_84128.d
888.3s : 438.378m/z;0;0;0;0;0;0;0;0;42634;0;0;0;0;0;0;0;72250;49336;59658;52835;73153;0;60281;0;0;55078;0;0;0;51050;0;0;0;83507;0;43152;0;49486;0;0;0;0;83745;0;0;42972;0;0;0;55036;46055;0;0;0;0;0;73503;46800;58250;47316;0;59229;58971;43053;0;0;0;0;0;0;57223;0;0;47713;0;57551;0;49304;50175;0;45284;48818;52361;0;57564;0;0;0;0;0;0;0;56488;0;0;50522
773.8s : 613.231m/z;40136;38055;0;0;0;0;34626;0;37504;41595;0;0;0;0;0;0;0;32705;36017;39009;33882;0;0;0;38489;0;0;34364;0;0;0;37518;0;35121;31257;36457;0;31529;0;0;0;37624;0;0;36476;36008;40477;0;0;0;36465;0;35387;30007;0;0;37897;0;37531;33388;0;37242;35554;0;0;34190;0;0;0;0;0;37199;0;34651;0;37237;0;0;0;31710;0;0;0;0;0;37216;36828;0;0;0;0;0;35145;38929;0;38192
904.5s : 482.404m/z;0;0;36352;32322;36463;0;0;0;0;0;0;0;0;0;0;0;0;42892;47950;0;0;0;55146;0;0;52346;0;0;0;43843;0;0;36382;83733;0;0;0;0;0;36583;0;0;0;0;0;0;0;0;0;0;0;37070;54409;0;0;0;65437;40696;48734;0;0;65696;52543;39569;0;0;0;0;0;0;54717;0;0;0;34934;52593;0;56359;0;0;0;41776;47733;0;56062;0;0;49237;0;0;43014;0;62753;0;0;47825
911.3s : 878.638m/z;0;51796;57822;49173;0;0;47339;0;0;0;0;0;0;0;38828;0;60841;48282;0;0;54196;0;0;0;0;55631;0;48538;0;56183;0;0;0;44833;39733;0;0;40066;61771;0;0;0;83106;0;0;47817;0;0;0;44627;0;74348;40530;56320;0;0;55182;42819;0;0;60681;65415;0;0;0;0;0;0;42769;0;0;0;0;0;44808;0;0;75807;0;0;0;0;0;0;52476;0;0;0;0;0;0;0;44372;0;0;54974
887.0s : 575.412m/z;0;0;0;0;63363;0;0;0;0;0;0;0;0;0;40283;0;59622;0;0;0;52435;0;41852;0;0;43499;61884;47105;0;38374;0;0;0;53670;0;0;0;37887;41040;0;0;0;63861;0;0;0;0;0;0;38623;0;39845;40638;0;0;0;42045;0;0;0;37127;51152;0;0;0;0;0;0;0;0;36668;0;0;0;44877;36512;36815;51925;0;0;0;34418;40909;0;49752;0;0;42305;0;0;46595;0;54301;0;0;38140
923.1s : 421.352m/z;0;0;48494;0;0;0;0;0;0;0;0;0;0;0;0;0;142916;0;63069;73747;131536;0;79780;0;0;61967;0;0;0;0;0;0;0;128147;0;64135;49010;0;0;53771;0;0;214061;0;0;45512;0;0;0;68378;49739;0;66983;0;0;0;103092;0;79499;56252;0;95284;83859;0;0;0;0;0;0;0;85025;0;0;51794;0;79623;0;72384;61855;0;54383;0;59558;0;69225;0;0;0;0;0;0;0;68020;0;0;56756
602.4s : 341.196m/z;264665;197903;0;204086;0;241184;118764;0;0;0;0;0;0;171294;132493;103513;0;115279;0;0;0;106843;0;0;113285;127358;0;0;102331;0;100898;112462;0;0;199156;217871;271772;0;0;0;0;0;0;0;0;131465;0;0;211141;0;0;0;0;0;99699;0;149886;0;0;0;0;0;0;129624;0;89377;286901;113942;0;0;0;0;0;0;168357;0;0;0;0;140573;0;0;0;168499;0;130537;0;80313;153685;0;0;222327;144404;0;0;0
884.8s : 663.464m/z;0;0;30523;0;55772;0;0;0;0;0;0;0;0;0;37772;0;43635;0;0;0;38083;0;30283;0;0;35030;57253;45862;0;0;0;0;0;36493;0;0;0;31002;36842;0;0;0;46747;0;0;30788;0;0;0;0;0;35047;33138;31116;0;0;30357;0;0;0;32744;40172;0;0;0;0;0;0;0;0;0;0;0;0;36100;0;35692;47153;0;0;0;0;33531;0;38062;0;0;37041;0;0;41235;0;44864;0;0;30586
284.4s : 107.070m/z;133369;0;119738;0;0;150821;0;120176;118029;0;0;0;0;0;0;0;0;0;0;0;128287;117287;150942;0;0;0;97692;0;108568;0;112216;0;146810;0;0;0;123151;0;0;0;115402;0;0;92093;0;0;0;0;0;0;0;0;0;0;0;0;159194;0;0;131810;0;0;133184;140579;180734;0;167351;172478;0;104657;0;0;0;0;159261;0;145544;0;0;0;0;0;0;98187;0;0;0;0;0;131860;0;109881;0;0;0;113163
897.8s : 790.587m/z;0;0;32872;0;43053;0;0;0;0;0;0;0;0;0;36595;0;44255;0;0;0;34640;0;0;0;0;33997;45540;50054;0;29100;0;0;0;31505;0;0;0;0;43918;0;0;0;58891;0;0;31688;0;0;0;27130;0;41013;31016;38043;0;0;30879;0;0;0;36306;43181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38904;54600;0;0;0;0;0;0;0;0;0;44966;0;0;41415;0;43489;0;0;31025
689.5s : 332.222m/z;0;67062;0;69748;84158;57139;0;57623;0;0;0;0;0;0;0;0;0;60125;0;61298;0;0;0;0;69780;66592;69557;67476;66858;68744;0;0;0;57580;72059;58618;0;0;57021;0;0;0;0;0;0;0;0;0;63571;0;0;0;0;57933;0;0;0;0;0;0;63120;0;0;0;54628;0;0;0;0;58061;0;0;0;0;0;61165;55077;0;0;65971;0;0;0;0;0;0;0;58293;63482;0;0;0;0;0;0;0
440.0s : 214.180m/z;90423;92005;0;0;0;0;0;115334;0;0;0;0;0;0;0;109356;213284;0;0;0;0;0;0;123066;0;101991;0;0;145772;0;0;0;156268;0;0;0;0;0;90879;0;94211;86992;0;105206;0;0;0;0;0;0;0;115100;0;125992;0;89110;0;0;0;0;112649;0;0;0;127904;0;0;96662;0;95285;0;0;0;0;0;0;0;0;112929;118189;0;120870;0;0;91842;0;0;102301;0;0;0;0;0;0;0;94166
887.4s : 421.352m/z;0;0;0;0;50661;0;0;0;0;0;0;60612;0;0;0;0;92710;45828;48869;48561;83080;0;52574;0;0;53876;0;0;0;53365;0;0;0;86431;0;0;0;0;0;0;0;0;122198;0;0;0;0;0;0;51213;0;0;54255;0;0;0;70617;0;47594;0;0;67476;48557;0;0;0;0;0;0;0;51533;0;0;0;0;51210;0;58093;132183;0;0;0;49151;0;63361;0;0;46425;0;0;0;0;63537;0;0;48813
936.8s : 283.263m/z;0;0;0;0;74437;0;0;0;0;0;0;80699;86382;80151;75281;90221;98291;88698;0;0;0;0;67305;0;0;0;71820;68969;118946;92951;95812;0;74375;0;85125;0;0;0;68929;84551;80172;0;0;0;0;0;0;0;95371;0;0;0;0;74923;0;92258;0;70064;0;0;110446;0;0;0;78639;0;0;0;67879;68768;0;0;85768;0;0;0;80847;0;86173;82954;0;0;0;0;0;0;0;0;0;0;0;83361;0;0;75052;0
731.7s : 339.214m/z;0;0;0;0;0;0;0;0;0;0;87104;112966;103492;74275;81130;86493;98199;83936;0;72907;82796;79538;74002;0;0;0;101454;66682;122056;59557;114231;0;76101;0;0;0;0;0;0;0;77725;0;0;79949;0;0;0;0;65404;77758;0;59344;72626;0;84478;106725;72198;88687;0;0;68397;0;0;0;90336;0;0;73912;0;67777;0;0;83918;0;0;0;0;0;112943;0;0;0;0;72187;65622;0;0;0;0;0;0;72571;0;0;0;0
811.8s : 481.276m/z;0;0;0;0;0;0;0;0;0;0;91375;82220;74639;51509;52449;46095;68784;65765;0;0;0;0;54347;0;0;0;74527;0;88248;49215;77248;0;0;0;53423;0;44888;0;0;54507;71630;0;0;51644;0;0;0;0;61613;0;0;0;0;51944;63234;88590;0;66001;0;0;67494;0;0;0;64416;0;0;72272;0;0;0;0;94911;0;0;0;52742;0;100985;61915;0;0;47864;57679;0;0;0;0;0;0;0;61145;0;0;0;0
880.3s : 834.613m/z;0;0;27623;0;42883;0;0;0;0;0;0;0;0;0;35450;0;33399;0;0;0;27313;0;0;0;0;29196;45953;48814;0;24731;0;0;0;23099;0;0;0;0;37328;0;0;0;44724;28535;0;28037;0;0;0;0;0;36858;0;39054;0;0;0;0;0;0;31683;32942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36173;44680;0;0;0;0;25525;0;30554;0;0;40257;0;0;36260;0;40191;0;0;26161
494.0s : 422.238m/z;0;0;0;0;0;0;0;0;0;0;61849;83382;77649;93297;83810;79674;74242;0;0;0;0;0;0;0;0;0;73212;69892;90912;53111;110594;0;0;0;77691;0;109144;0;0;0;68050;0;0;73810;0;0;0;0;97632;0;0;0;0;69464;89672;56146;71852;0;0;0;68287;0;0;0;70534;69898;68780;105923;0;73817;0;0;63769;0;70712;0;61881;0;57269;71177;0;0;0;90104;0;0;0;0;0;67447;0;106366;0;0;0;0
954.9s : 639.424m/z;114771;109034;0;138551;0;112406;0;0;0;0;0;62003.24409;0;0;0;0;0;0;0;80649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109022;110971;90192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53669.03966;96475;0;0;87585;102516;0;0;0;0;77596;123912;0;0;0;0;0;0;0;0;0;0;0;47384.04639;106909;0;0;0;92136;0;0;0;74454;92683;0;0;0;0;0;0;0
912.5s : 675.445m/z;0;0;0;0;44470;26939;0;27300;0;0;27643;0;28026;0;0;0;0;0;0;0;0;0;0;0;0;0;38261;28571;34310;27207;33253;0;0;0;26666;0;29846;0;26321;29048;28691;0;0;28679;0;0;25297;0;0;0;0;0;0;0;28182;26535;0;0;0;0;0;0;0;0;28282;0;0;27894;0;27459;0;0;28255;0;0;0;0;0;0;0;0;0;0;27062;0;0;0;0;0;27038;0;0;0;0;23187;0
888.6s : 443.334m/z;0;0;0;0;50374;0;0;0;0;0;0;0;0;0;0;0;62847;42625;50731;46595;67131;0;54622;0;0;49979;0;0;0;46020;0;0;0;70549;0;0;0;0;0;0;0;0;72617;0;0;0;0;0;0;48003;0;0;50087;0;0;0;61754;0;49458;0;0;50946;51848;0;0;0;0;0;0;0;51171;0;0;0;0;50064;0;41043;59560;0;0;0;45825;0;49499;0;0;0;0;0;0;0;46873;0;0;45177
558.4s : 573.290m/z;0;0;0;0;0;0;0;0;0;0;70808;62322;56136;0;0;0;0;0;0;0;0;0;0;0;0;0;42248;0;60022;0;52408;0;0;0;0;0;0;0;39032;40126;60998;0;0;0;0;0;0;0;43034;0;0;0;0;42902;53555;55003;0;44427;0;0;68430;0;0;0;59333;0;0;58770;0;48459;0;0;82897;0;0;0;41450;0;72098;45471;0;0;0;38449;0;0;0;0;0;0;0;51608;0;0;0;0
902.2s : 597.456m/z;0;0;0;0;37236;0;0;0;0;0;0;0;0;0;31019;0;57931;0;0;0;46962;0;0;0;0;34157;37350;40799;0;0;0;0;0;42274;0;0;0;0;36263;0;0;0;78071;0;0;28158;0;0;0;32894;0;34012;36995;0;0;0;35349;0;0;0;0;47885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33796;51642;0;0;0;0;33941;0;39321;0;0;38312;0;0;37453;0;45942;0;0;0
447.6s : 226.180m/z;268372;0;0;0;255000;0;0;0;0;0;370637;184737;162875;0;0;0;0;0;0;0;0;0;0;0;0;0;448152;191608;237318;0;0;0;0;0;0;0;278726;0;0;0;167219;0;0;0;0;0;0;0;0;0;0;0;0;291755;274742;0;0;0;0;0;169271;0;0;0;0;0;0;0;0;0;235484;0;174627;0;0;0;0;0;151255;203379;0;0;0;0;0;393462;0;162222;130290;0;0;156568;0;0;0;0
961.2s : 213.148m/z;0;302042;0;0;232357;0;0;0;159703;148350;0;0;237049;101184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200974;0;0;422219;0;182496;102349;0;0;132724;0;0;0;176139;143796;0;0;0;0;0;0;0;0;0;0;0;0;0;468297;0;196163;0;0;177735;0;0;0;0;0;0;0;153017;212510;0;0;161733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130952;0;0;0;0;103471;0;0
954.7s : 713.355m/z;38907;0;0;50126;0;38503;0;0;0;0;0;0;0;0;38440;0;0;42872;0;44457;0;51030;0;0;0;0;0;0;0;0;0;0;0;0;0;52516;0;0;0;37030;0;0;0;0;47272;0;0;0;42358;0;0;0;0;0;0;0;0;0;0;46273;37222;0;0;46325;0;38042;42730;0;0;0;0;44649;0;0;44119;46641;39948;0;0;43015;0;0;0;0;0;44993;44281;0;39958;0;0;0;0;0;0;46769
855.3s : 355.282m/z;0;0;49440;0;63964;0;0;0;55718;53232;0;0;0;0;0;0;0;0;0;0;0;0;54451;0;55317;0;61562;0;64078;0;0;0;54662;0;51838;0;0;0;0;0;0;0;0;0;0;0;60193;63093;0;0;53162;0;0;0;0;0;51794;0;52930;0;0;0;57743;0;53166;0;52271;0;0;0;0;51910;0;0;53292;0;0;0;0;0;0;0;0;0;0;0;50027;0;0;0;0;0;0;55037;0;0
267.6s : 475.325m/z;120354;0;0;0;107247;0;71419;0;0;0;0;0;70391;0;0;73062;85476;0;0;0;0;0;104256;0;0;0;0;0;0;0;59583;0;80349;0;0;0;96923;0;0;0;65718;0;53392;0;0;0;0;0;0;0;63870;0;63184;0;0;0;0;87091;0;58615;0;81891;0;0;0;0;0;90142;0;0;0;0;72527;0;77643;0;0;0;0;0;0;0;66766;0;0;0;0;0;0;88909;0;0;0;0;0;0
888.0s : 487.360m/z;0;0;0;0;61329;0;0;0;0;0;0;0;0;0;0;0;66126;0;0;0;64701;0;47008;0;0;44371;44530;0;0;42851;0;0;0;68579;0;0;0;0;0;0;0;0;76878;0;0;0;0;0;0;42688;0;0;44102;0;0;0;56155;0;0;0;0;49910;0;0;0;0;0;0;0;0;42839;0;0;0;0;43816;0;44128;65792;0;0;0;42484;0;52180;0;0;0;0;0;0;0;50274;0;0;43233
872.8s : 597.456m/z;0;0;0;0;0;0;30296;0;0;0;0;51819;0;0;0;0;0;33987;0;0;0;0;37442;0;0;45319;0;0;0;0;0;0;31021;52972;0;0;0;0;0;0;0;0;0;0;0;33927;0;0;0;0;0;45492;0;35100;0;0;38531;30954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38675;0;0;0;100391;0;0;32203;42262;0;0;0;0;0;0;0;0;0;0;0;0;0
886.3s : 377.326m/z;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79977;0;0;51361;76060;0;50744;0;0;49775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108518;0;0;0;0;0;0;51455;0;0;51216;0;0;0;68187;0;48465;0;0;55937;47153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52394;92789;0;0;0;0;0;51947;0;0;0;0;0;0;0;53773;0;0;0
773.6s : 891.382m/z;212726;0;211512;0;0;0;0;0;0;0;0;0;0;0;0;143193;219631;0;0;0;185738;160385;0;227483;0;201544;0;0;0;0;0;0;0;0;0;240155;0;0;0;0;0;296479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215458;0;0;228347;0;0;0;0;0;201246;0;255596;0;0;251323;118113;323541;0;184897;0;0;0;196967;198880;0;225334;0;0;0;0;0;187565;0;0;0;0;0
447.6s : 244.191m/z;276391;0;0;0;265011;0;0;0;0;0;363607;175742;153419;0;0;0;0;0;0;0;0;0;0;0;0;0;449441;188186;232428;0;0;0;0;0;0;0;286152;0;0;0;168446;0;0;0;0;0;0;0;0;0;0;0;0;279544;257652;0;0;0;0;0;161922;0;0;0;0;0;0;0;0;0;225760;0;169645;0;0;0;0;0;145617;204572;0;0;0;0;0;382339;0;152139;0;0;0;153504;0;0;0;0
901.2s : 641.482m/z;0;0;0;0;38245;0;0;0;0;0;0;0;0;0;29036;0;50037;0;0;0;38992;0;0;0;0;32078;34767;39315;0;0;0;0;0;36103;0;0;0;0;34710;0;0;0;70343;0;0;0;0;0;0;0;0;33391;29861;0;0;0;0;0;0;0;28643;42177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31534;47727;0;0;0;0;0;0;37408;0;0;37719;0;0;35575;0;41233;0;0;0
773.8s : 890.384m/z;0;0;0;0;0;0;0;0;0;0;204706;0;0;229369;188048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225887;0;155734;136745;0;0;0;0;0;0;0;0;0;0;217665;0;0;0;180916;0;0;0;0;0;0;0;0;131640;270756;213458;150587;0;0;0;0;0;0;0;0;166342;0;0;258368;0;0;0;122014;0;0;0;0;181750;0;0;176970;0;0;0;0
629.5s : 119.086m/z;0;59589;0;64453;0;0;71668;0;0;0;0;0;0;0;71924;78001;77296;74951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67327;0;0;0;0;0;77002;0;0;0;69126;88148;60974;90106;67951;0;0;0;89675;0;0;81952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62208;0;0;0;0;0;0;0;0;64518;0;0;0;0;0;70833;0;72331;0;0;0
629.4s : 846.440m/z;0;58509;0;67627;0;0;66065;0;0;0;0;0;0;51521;62648;64443;69311;68413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60061;0;0;0;0;0;64579;79684;0;0;62036;81046;0;78504;0;0;0;0;71234;0;0;55864;51753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59750;0;0;0;0;0;0;0;0;0;67763;0;0;0
586.1s : 345.263m/z;0;159517;0;0;0;230226;0;201125;0;0;0;0;0;0;0;0;0;0;0;154090;0;222087;157348;0;0;160612;0;0;0;166852;0;0;167573;0;202725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214644;0;0;0;194057;166759;0;237945;0;0;0;0;0;0;0;227252;0;225513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156066
753.5s : 247.154m/z;0;0;0;0;0;97913;0;84186;0;0;0;0;0;0;0;0;0;0;0;61821;0;90716;0;0;0;0;0;0;0;0;0;0;0;0;87440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86118;0;0;0;81399;0;56979;94455;67305;0;0;0;0;0;0;92723;0;89391;0;0;76388;0;0;0;0;0;0;0;0;72543;0;0;0;0;0;0;0
887.6s : 531.386m/z;0;0;0;0;61887;0;0;0;0;0;0;0;0;0;0;0;59462;0;0;0;51851;0;39376;0;0;38806;52877;37950;0;37931;0;0;0;56822;0;0;0;0;0;0;0;0;67190;0;0;0;0;0;0;39923;0;0;40565;0;0;0;43409;0;0;0;0;47683;0;0;0;0;0;0;0;0;36346;0;0;0;38376;0;0;44630;119744;0;0;0;39956;0;45800;0;0;0;0;0;42818;0;48840;0;0;0
